country,year,gdppc,growth5
Spain,1985,14696.966,0.9678518745808162
Spain,1986,15242.98,1.8685918634883336
Spain,1987,16273.085,2.9870929988019546
Spain,1988,17275.508,3.938970209072745
Spain,1989,18360.352,5.106140251855007
Spain,1990,19215.0,5.507307424700425
Spain,1991,19958.06,5.5382014580015015
Spain,1992,20329.168,4.55142160920583
Spain,1993,20056.54,3.0303173201502
Spain,1994,20673.955,2.4020174081808676
Spain,1995,21522.098,2.2936895610109698
Spain,1996,22185.066,2.1382659202387133
Spain,1997,23113.615,2.6005417712667622
Spain,1998,24284.861,3.900089486895464
Spain,1999,25549.54,4.325843254646111
Spain,2000,26994.86,4.6355580772941
Spain,2001,28153.553,4.880439158042393
Spain,2002,28753.322,4.463369629994474
Spain,2003,29371.865,3.876947785523588
Spain,2004,30088.092,3.32426214307342
Spain,2005,30885.602,2.729458345358182
Spain,2006,31907.424,2.5348986559164732
Spain,2007,32735.434,2.6280353325654593
Spain,2008,32844.324,2.2599935152814554
Spain,2009,31669.691,1.029879623164609
Spain,2010,31786.404,0.5766267400117764
Spain,2011,31600.0,-0.19344444247059167
Spain,2012,30645.215,-1.310962381216152
Spain,2013,30327.451,-1.581868306759171
Spain,2014,30842.184,-0.5281352424643226
Spain,2015,32057.098,0.16974338352819807
Spain,2016,33002.676,0.872414112302633
Spain,2017,33924.137,2.053810982514004
Spain,2018,34553.625,2.6435209727056375
Spain,2019,34957.465,2.5366115513641985
Spain,2020,30834.514,-0.7746634619936521
Spain,2021,32553.05,-0.2739756562983531
Spain,2022,34123.387,0.1171929785376058
Portugal,1962,5308.0,4.605372988333767
Portugal,1963,5585.0,5.570628597586924
Portugal,1964,5926.0,5.877160833301254
Portugal,1965,6363.0,6.1918845868587535
Portugal,1966,6637.0,5.946872124248825
Portugal,1967,7143.0,6.118217693393868
Portugal,1968,7767.0,6.818389429290783
Portugal,1969,7949.0,6.049877201098308
Portugal,1970,8724.0,6.5149938757786074
Portugal,1971,9358.0,7.113015174756865
Portugal,1972,10130.0,7.23727238935119
Portugal,1973,11258.0,7.706419256326513
Portugal,1974,11234.0,7.162881915728714
Portugal,1975,10388.0,3.5531362910642406
Portugal,1976,10861.0,3.0237501632950137
Portugal,1977,11422.0,2.4298512651990123
Portugal,1978,11700.0,0.7731707424775136
Portugal,1979,12326.0,1.872637150166545
Portugal,1980,12822.0,4.300109967123089
Portugal,1981,12934.0,3.5553661509628354
Portugal,1982,13198.0,2.932659436079743
Portugal,1983,13158.0,2.376624006637451
Portugal,1984,12894.0,0.9050961334590379
Portugal,1985,13240.0,0.6436647741720369
Portugal,1986,13774.0,1.2664170764538074
Portugal,1987,14641.0,2.0968923956450336
Portugal,1988,15729.0,3.6339964136924863
Portugal,1989,16533.0,5.097600325480478
Portugal,1990,17256.0,5.441221735032609
Portugal,1991,17949.809,5.438677648477053
Portugal,1992,18598.527,4.901467031568707
Portugal,1993,18519.934,3.3207772181288453
Portugal,1994,18819.027,2.6240382032164167
Portugal,1995,19262.031,2.223886614784476
Portugal,1996,19939.31,2.124527161405121
Portugal,1997,20810.178,2.272635854324845
Portugal,1998,21782.12,3.2980545402894634
Portugal,1999,22589.922,3.7202400437247984
Portugal,2000,23372.041,3.94387720979954
Portugal,2001,23751.371,3.5608750966866998
Portugal,2002,23896.459,2.8043641551731557
Portugal,2003,23677.52,1.6827336132878346
Portugal,2004,24142.766,1.3384969929279178
Portugal,2005,24377.95,0.8463324389020643
Portugal,2006,24809.04,0.8751643202564274
Portugal,2007,25477.205,1.2893177795368027
Portugal,2008,25590.88,1.5663397552649005
Portugal,2009,24902.457,0.6215573523327134
Portugal,2010,25463.164,0.8748813824872803
Portugal,2011,25133.0,0.25980933658042993
Portugal,2012,24211.438,-1.0140032607167337
Portugal,2013,24119.96,-1.1769456574060366
Portugal,2014,24442.387,-0.37225891233758635
Portugal,2015,24983.701,-0.3794623456898072
Portugal,2016,25568.695,0.3443320248002646
Portugal,2017,26529.986,1.8458383084968721
Portugal,2018,27329.69,2.530157487771678
Portugal,2019,28056.057,2.7960918656251055
Portugal,2020,25700.283,0.5671693749399687
Portugal,2021,27138.479,1.1988059308100096
Portugal,2022,28992.059,1.7907719187771676
Greece,1960,5015.0,4.590037566004201
Greece,1961,5408.0,4.6288483240619405
Greece,1962,5577.0,4.1224367370931825
Greece,1963,6122.0,5.325875048459761
Greece,1964,6601.0,6.376394070211999
